id,category,subcategory,data_source,data_as_of,title
trnsc_daily_fpx,Financial Markets,Payments,PayNet;BNM,2026-09-23 23:59,Daily FPX Transactions
trnsc_daily_jompay,Financial Markets,Payments,PayNet;BNM,2026-09-23 23:59,Daily JomPAY Transactions
trnsc_daily_san,Financial Markets,Payments,PayNet;BNM,2026-09-23 23:59,Daily Shared ATM Network (SAN) Transactions
usage_metrics,Metadata,Site Metrics,JDN;KD,2026-09-23 23:59,Daily Usage Metrics for data.gov.my
usage_metrics_openapi,Metadata,Site Metrics,JDN;KD,2026-09-23 23:59,Daily OpenAPI Hits by Endpoint
usage_metrics_openapi_cumul,Metadata,Site Metrics,JDN;KD,2026-09-23 23:59,Cumulative OpenAPI Hits by Endpoint
vaxreg_covid,Healthcare,Infectious Diseases,MOH,2022-02-22 23:59,Daily COVID-19 Vaccine Registrations by State
vaxreg_covid_demog,Healthcare,Infectious Diseases,MOH,2022-02-22 23:59,"Daily COVID-19 Vaccine Registrations by State, Sex & Age"
water_access,Environment,Water,SPAN;NRES,2022,Access to Treated Water by State & Strata
water_consumption,Environment,Water,SPAN;NRES;DOSM,2022-12-31 23:59,Water Consumption by State and Sector
water_pollution_basin,Environment,Pollution,JAS,2021,River Basin Pollution Monitoring
water_production,Environment,Water,SPAN;NRES;DOSM,2022-12-31 23:59,Water Production by State
